iso,refdate,fordate,sequence,node,shape,price
ERCOT,2019-04-04,2021-07-01,6,HB_NORTH,Off-peak,1.340913
ERCOT,2019-04-04,2021-08-01,6,HB_NORTH,Off-peak,1.350000
ERCOT,2019-04-04,2021-10-01,6,HB_NORTH,Off-peak,1.391411
ERCOT,2019-04-04,2021-09-01,6,HB_NORTH,Off-peak,1.201806
ERCOT,2019-04-04,2021-11-01,6,HB_NORTH,Off-peak,1.230000
ERCOT,2019-04-04,2021-12-01,6,HB_NORTH,Off-peak,1.330000
ERCOT,2019-05-02,2019-10-01,1,HB_NORTH,Off-peak,0.811928
ERCOT,2019-05-02,2019-09-01,1,HB_NORTH,Off-peak,0.380606
ERCOT,2019-05-02,2019-12-01,1,HB_NORTH,Off-peak,0.302355
ERCOT,2019-05-02,2019-08-01,1,HB_NORTH,Off-peak,0.550000
ERCOT,2019-05-02,2019-11-01,1,HB_NORTH,Off-peak,0.435335
ERCOT,2019-05-02,2019-07-01,1,HB_NORTH,Off-peak,0.324000
ERCOT,2019-05-30,2020-03-01,2,HB_NORTH,Off-peak,-0.228819
ERCOT,2019-05-30,2020-04-01,2,HB_NORTH,Off-peak,0.840973
ERCOT,2019-05-30,2020-05-01,2,HB_NORTH,Off-peak,0.625365
ERCOT,2019-05-30,2020-02-01,2,HB_NORTH,Off-peak,-0.052913
ERCOT,2019-05-30,2020-06-01,2,HB_NORTH,Off-peak,1.093981
ERCOT,2019-05-30,2020-01-01,2,HB_NORTH,Off-peak,0.319032
ERCOT,2019-07-11,2020-08-01,3,HB_NORTH,Off-peak,0.486516
ERCOT,2019-07-11,2020-07-01,3,HB_NORTH,Off-peak,0.222753
ERCOT,2019-07-11,2020-09-01,3,HB_NORTH,Off-peak,0.039304
ERCOT,2019-07-11,2020-11-01,3,HB_NORTH,Off-peak,0.338807
ERCOT,2019-07-11,2020-10-01,3,HB_NORTH,Off-peak,-0.013241
ERCOT,2019-07-11,2020-12-01,3,HB_NORTH,Off-peak,0.049040
ERCOT,2019-08-01,2021-03-01,4,HB_NORTH,Off-peak,0.279292
ERCOT,2019-08-01,2021-05-01,4,HB_NORTH,Off-peak,0.523456
ERCOT,2019-08-01,2021-04-01,4,HB_NORTH,Off-peak,0.424996
ERCOT,2019-08-01,2021-02-01,4,HB_NORTH,Off-peak,0.651599
ERCOT,2019-08-01,2021-06-01,4,HB_NORTH,Off-peak,1.004167
ERCOT,2019-08-01,2021-01-01,4,HB_NORTH,Off-peak,0.658669
ERCOT,2019-09-05,2021-07-01,5,HB_NORTH,Off-peak,0.148319
ERCOT,2019-09-05,2021-08-01,5,HB_NORTH,Off-peak,-0.148962
ERCOT,2019-09-05,2021-10-01,5,HB_NORTH,Off-peak,0.548341
ERCOT,2019-09-05,2021-09-01,5,HB_NORTH,Off-peak,0.730000
ERCOT,2019-09-05,2021-11-01,5,HB_NORTH,Off-peak,0.627223
ERCOT,2019-09-05,2021-12-01,5,HB_NORTH,Off-peak,0.639477
ERCOT,2019-10-03,2022-03-01,6,HB_NORTH,Off-peak,0.859993
ERCOT,2019-10-03,2022-04-01,6,HB_NORTH,Off-peak,1.052729
ERCOT,2019-10-03,2022-02-01,6,HB_NORTH,Off-peak,0.826282
ERCOT,2019-10-03,2022-05-01,6,HB_NORTH,Off-peak,1.150943
ERCOT,2019-10-03,2022-06-01,6,HB_NORTH,Off-peak,1.160951
ERCOT,2019-10-03,2022-01-01,6,HB_NORTH,Off-peak,1.109266
ERCOT,2019-10-31,2020-03-01,1,HB_NORTH,Off-peak,1.005217
ERCOT,2019-10-31,2020-04-01,1,HB_NORTH,Off-peak,0.926719
ERCOT,2019-10-31,2020-05-01,1,HB_NORTH,Off-peak,1.057609
ERCOT,2019-10-31,2020-02-01,1,HB_NORTH,Off-peak,0.469794
ERCOT,2019-10-31,2020-06-01,1,HB_NORTH,Off-peak,0.700000
ERCOT,2019-10-31,2020-01-01,1,HB_NORTH,Off-peak,0.433944
ERCOT,2019-12-05,2020-08-01,2,HB_NORTH,Off-peak,0.111648
ERCOT,2019-12-05,2020-07-01,2,HB_NORTH,Off-peak,0.169168
ERCOT,2019-12-05,2020-09-01,2,HB_NORTH,Off-peak,0.173584
ERCOT,2019-12-05,2020-11-01,2,HB_NORTH,Off-peak,0.292385
ERCOT,2019-12-05,2020-10-01,2,HB_NORTH,Off-peak,0.377999
ERCOT,2019-12-05,2020-12-01,2,HB_NORTH,Off-peak,0.126460
ERCOT,2020-01-03,2021-03-01,3,HB_NORTH,Off-peak,0.663278
ERCOT,2020-01-03,2021-05-01,3,HB_NORTH,Off-peak,0.622037
ERCOT,2020-01-03,2021-04-01,3,HB_NORTH,Off-peak,0.218166
ERCOT,2020-01-03,2021-02-01,3,HB_NORTH,Off-peak,0.586110
ERCOT,2020-01-03,2021-06-01,3,HB_NORTH,Off-peak,0.550000
ERCOT,2020-01-03,2021-01-01,3,HB_NORTH,Off-peak,0.473040
ERCOT,2020-02-06,2021-07-01,4,HB_NORTH,Off-peak,0.025078
ERCOT,2020-02-06,2021-08-01,4,HB_NORTH,Off-peak,-0.318686
ERCOT,2020-02-06,2021-10-01,4,HB_NORTH,Off-peak,0.476301
ERCOT,2020-02-06,2021-09-01,4,HB_NORTH,Off-peak,0.224674
ERCOT,2020-02-06,2021-11-01,4,HB_NORTH,Off-peak,0.268921
ERCOT,2020-02-06,2021-12-01,4,HB_NORTH,Off-peak,0.252222
ERCOT,2020-03-05,2022-03-01,5,HB_NORTH,Off-peak,0.286266
ERCOT,2020-03-05,2022-04-01,5,HB_NORTH,Off-peak,0.365675
ERCOT,2020-03-05,2022-02-01,5,HB_NORTH,Off-peak,0.299486
ERCOT,2020-03-05,2022-05-01,5,HB_NORTH,Off-peak,0.563230
ERCOT,2020-03-05,2022-06-01,5,HB_NORTH,Off-peak,0.557719
ERCOT,2020-03-05,2022-01-01,5,HB_NORTH,Off-peak,0.451110
ERCOT,2020-04-02,2022-11-01,6,HB_NORTH,Off-peak,0.512110
ERCOT,2020-04-02,2022-08-01,6,HB_NORTH,Off-peak,0.442754
ERCOT,2020-04-02,2022-07-01,6,HB_NORTH,Off-peak,0.411111
ERCOT,2020-04-02,2022-09-01,6,HB_NORTH,Off-peak,0.413248
ERCOT,2020-04-02,2022-10-01,6,HB_NORTH,Off-peak,0.792364
ERCOT,2020-04-02,2022-12-01,6,HB_NORTH,Off-peak,0.300307
ERCOT,2020-04-30,2020-08-01,1,HB_NORTH,Off-peak,-0.081013
ERCOT,2020-04-30,2020-07-01,1,HB_NORTH,Off-peak,-0.268881
ERCOT,2020-04-30,2020-09-01,1,HB_NORTH,Off-peak,0.234929
ERCOT,2020-04-30,2020-11-01,1,HB_NORTH,Off-peak,0.266061
ERCOT,2020-04-30,2020-10-01,1,HB_NORTH,Off-peak,0.076205
ERCOT,2020-04-30,2020-12-01,1,HB_NORTH,Off-peak,0.096644
ERCOT,2020-06-04,2021-03-01,2,HB_NORTH,Off-peak,0.606653
ERCOT,2020-06-04,2021-05-01,2,HB_NORTH,Off-peak,0.317960
ERCOT,2020-06-04,2021-04-01,2,HB_NORTH,Off-peak,0.355392
ERCOT,2020-06-04,2021-02-01,2,HB_NORTH,Off-peak,-0.069052
ERCOT,2020-06-04,2021-06-01,2,HB_NORTH,Off-peak,0.480000
ERCOT,2020-06-04,2021-01-01,2,HB_NORTH,Off-peak,0.239311
ERCOT,2020-07-02,2021-07-01,3,HB_NORTH,Off-peak,0.255226
ERCOT,2020-07-02,2021-08-01,3,HB_NORTH,Off-peak,-0.131835
ERCOT,2020-07-02,2021-10-01,3,HB_NORTH,Off-peak,0.475256
ERCOT,2020-07-02,2021-09-01,3,HB_NORTH,Off-peak,0.164960
ERCOT,2020-07-02,2021-11-01,3,HB_NORTH,Off-peak,0.271617
ERCOT,2020-07-02,2021-12-01,3,HB_NORTH,Off-peak,0.278242
ERCOT,2020-08-06,2022-03-01,4,HB_NORTH,Off-peak,0.712103
ERCOT,2020-08-06,2022-04-01,4,HB_NORTH,Off-peak,0.634529
ERCOT,2020-08-06,2022-02-01,4,HB_NORTH,Off-peak,0.343435
ERCOT,2020-08-06,2022-05-01,4,HB_NORTH,Off-peak,0.430000
ERCOT,2020-08-06,2022-06-01,4,HB_NORTH,Off-peak,0.751649
ERCOT,2020-08-06,2022-01-01,4,HB_NORTH,Off-peak,0.370000
ERCOT,2020-09-03,2022-11-01,5,HB_NORTH,Off-peak,0.430279
ERCOT,2020-09-03,2022-08-01,5,HB_NORTH,Off-peak,0.899288
ERCOT,2020-09-03,2022-07-01,5,HB_NORTH,Off-peak,0.683831
ERCOT,2020-09-03,2022-09-01,5,HB_NORTH,Off-peak,0.737894
ERCOT,2020-09-03,2022-10-01,5,HB_NORTH,Off-peak,0.868294
