iso,refdate,fordate,sequence,node,shape,price
ERCOT,2019-05-02,2019-07-01,1,HB_NORTH,Off-peak,0.324000
ERCOT,2019-05-02,2019-07-01,1,HB_NORTH,PeakWD,0.179841
ERCOT,2019-05-02,2019-07-01,1,HB_NORTH,PeakWE,0.520000
ERCOT,2019-05-02,2019-08-01,1,HB_NORTH,Off-peak,0.550000
ERCOT,2019-05-02,2019-08-01,1,HB_NORTH,PeakWD,-0.092643
ERCOT,2019-05-02,2019-08-01,1,HB_NORTH,PeakWE,0.550000
ERCOT,2019-05-02,2019-09-01,1,HB_NORTH,Off-peak,0.380606
ERCOT,2019-05-02,2019-09-01,1,HB_NORTH,PeakWD,0.213433
ERCOT,2019-05-02,2019-09-01,1,HB_NORTH,PeakWE,0.617686
ERCOT,2019-05-02,2019-10-01,1,HB_NORTH,Off-peak,0.811928
ERCOT,2019-05-02,2019-10-01,1,HB_NORTH,PeakWD,1.356848
ERCOT,2019-05-02,2019-10-01,1,HB_NORTH,PeakWE,1.097271
ERCOT,2019-05-02,2019-11-01,1,HB_NORTH,Off-peak,0.435335
ERCOT,2019-05-02,2019-11-01,1,HB_NORTH,PeakWD,1.144024
ERCOT,2019-05-02,2019-11-01,1,HB_NORTH,PeakWE,0.170689
ERCOT,2019-05-02,2019-12-01,1,HB_NORTH,Off-peak,0.302355
ERCOT,2019-05-02,2019-12-01,1,HB_NORTH,PeakWD,-0.182103
ERCOT,2019-05-02,2019-12-01,1,HB_NORTH,PeakWE,-0.385251
ERCOT,2019-10-31,2020-01-01,1,HB_NORTH,Off-peak,0.433944
ERCOT,2019-10-31,2020-01-01,1,HB_NORTH,PeakWD,0.284295
ERCOT,2019-10-31,2020-01-01,1,HB_NORTH,PeakWE,0.373310
ERCOT,2019-10-31,2020-02-01,1,HB_NORTH,Off-peak,0.469794
ERCOT,2019-10-31,2020-02-01,1,HB_NORTH,PeakWD,-0.020000
ERCOT,2019-10-31,2020-02-01,1,HB_NORTH,PeakWE,0.450000
ERCOT,2019-10-31,2020-03-01,1,HB_NORTH,Off-peak,1.005217
ERCOT,2019-10-31,2020-03-01,1,HB_NORTH,PeakWD,0.764799
ERCOT,2019-10-31,2020-03-01,1,HB_NORTH,PeakWE,1.383396
ERCOT,2019-10-31,2020-04-01,1,HB_NORTH,Off-peak,0.926719
ERCOT,2019-10-31,2020-04-01,1,HB_NORTH,PeakWD,1.929322
ERCOT,2019-10-31,2020-04-01,1,HB_NORTH,PeakWE,1.896730
ERCOT,2019-10-31,2020-05-01,1,HB_NORTH,Off-peak,1.057609
ERCOT,2019-10-31,2020-05-01,1,HB_NORTH,PeakWD,1.690860
ERCOT,2019-10-31,2020-05-01,1,HB_NORTH,PeakWE,1.748374
ERCOT,2019-10-31,2020-06-01,1,HB_NORTH,Off-peak,0.700000
ERCOT,2019-10-31,2020-06-01,1,HB_NORTH,PeakWD,1.193314
ERCOT,2019-10-31,2020-06-01,1,HB_NORTH,PeakWE,1.436531
ERCOT,2020-04-30,2020-07-01,1,HB_NORTH,Off-peak,-0.268881
